Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,51522.000000,51656.000000,50246.000000,50341.000000,50341.000000,3476300
2014-01-03,50348.000000,50981.000000,50269.000000,50981.000000,50981.000000,7360400
2014-01-06,50980.000000,51002.000000,50451.000000,50974.000000,50974.000000,3727800
2014-01-07,50982.000000,51478.000000,50429.000000,50430.000000,50430.000000,3339500
2014-01-08,50431.000000,50793.000000,50424.000000,50577.000000,50577.000000,2916500
2014-01-09,50576.000000,50576.000000,49259.000000,49322.000000,49322.000000,3702600
2014-01-10,49322.000000,50145.000000,49267.000000,49696.000000,49696.000000,3509600
2014-01-13,49708.000000,50003.000000,49309.000000,49427.000000,49427.000000,2803000
2014-01-14,49421.000000,49834.000000,49263.000000,49703.000000,49703.000000,2887800
2014-01-15,49715.000000,50230.000000,49715.000000,50105.000000,50105.000000,2835600
2014-01-16,50106.000000,50577.000000,49628.000000,49696.000000,49696.000000,2944500
2014-01-17,49696.000000,49868.000000,49174.000000,49182.000000,49182.000000,2615000
2014-01-20,49180.000000,49292.000000,48673.000000,48708.000000,48708.000000,1413000
2014-01-21,48728.000000,49124.000000,48440.000000,48542.000000,48542.000000,3104400
2014-01-22,48543.000000,49487.000000,48543.000000,49300.000000,49300.000000,3873300
2014-01-23,49294.000000,49598.000000,48321.000000,48321.000000,48321.000000,3881700
2014-01-24,48325.000000,48327.000000,47493.000000,47787.000000,47787.000000,3535000
2014-01-27,47782.000000,48147.000000,47493.000000,47701.000000,47701.000000,2936000
2014-01-28,47750.000000,48488.000000,47750.000000,47841.000000,47841.000000,2694500
2014-01-29,47839.000000,47884.000000,47154.000000,47557.000000,47557.000000,3324900
2014-01-30,47554.000000,48034.000000,47115.000000,47244.000000,47244.000000,3108300
2014-01-31,47234.000000,47652.000000,46814.000000,47639.000000,47639.000000,3718700
2014-02-03,47623.000000,47623.000000,46109.000000,46148.000000,46148.000000,3622100
2014-02-04,46148.000000,47132.000000,46146.000000,46964.000000,46964.000000,3471600
2014-02-05,46964.000000,47148.000000,46224.000000,46624.000000,46624.000000,3358900
2014-02-06,46988.000000,48034.000000,46632.000000,47738.000000,47738.000000,3632200
2014-02-07,47739.000000,48253.000000,47557.000000,48074.000000,48074.000000,3195800
2014-02-10,48070.000000,48136.000000,47465.000000,47711.000000,47711.000000,2634500
